id,sourceid,name,party,area,seat,start
0866055333028,8310e472-996b-4c8a-bce5-4d09fb20a66a,Alexandra Anstrell,M,Stockholms län,212,2018-09-24
0779329190517,3ce8f147-129f-412c-b6ad-db566d53b1db,Kjell Jansson,M,Stockholms län,213,2018-09-24
0694917698222,6025366f-76b8-4664-a3ef-ea0864fc8365,Michael Rubbestad,SD,Uppsala län,214,2018-09-24
0521260619925,359e75f3-519e-49d7-b155-ada488e621ea,Sofia Amloh,S,Södermanlands län,215,2021-09-08
057993099726,529ac523-d10b-444b-8441-56a24a66ef5b,Magnus Ek,C,Östergötlands län,216,2018-09-24
0742883909221,5af2318e-82dc-4271-b219-c12b3d74d11a,John Weinerhall,M,Östergötlands län,217,2018-09-24
0862868280923,e234524d-e04b-448a-b609-05926a0a8b36,Annie Lööf,C,Jönköpings län,218,2020-09-01
0409655917321,cf93a30c-7563-418e-a111-60d31ad24bcc,Jakob Olofsgård,L,Jönköpings län,219,2021-08-01
0376395541120,4a486ea1-d97c-4393-9ada-2639140cfd46,Joakim Sandell,S,Malmö kommun,220,2018-09-24
0587736055221,1512b21b-9312-41bc-80ed-f4f0e58f1de4,Niels Paarup-Petersen,C,Malmö kommun,221,2018-09-24
0616721755222,88e092fa-1769-43c7-bfef-9d260811c982,Louise Meijer,M,Skåne läns södra,222,2021-05-24
0810201628512,5ac51ad6-c8ea-4ce6-bcd5-b8609d6c058a,Ann-Charlotte Hammar Johnsson,M,Skåne läns västra,223,2018-09-24
0199751900210,cbadd933-3375-4216-92fd-3d64a56b5a13,Annelie Karlsson,S,Skåne läns norra och östra,224,2018-09-24
0452755722723,06d7c195-c170-4103-bcc6-1d9c0d43b169,Björn Söder,SD,Skåne läns norra och östra,225,2018-09-24
051870309210,214d9393-c01e-497c-8580-d033b9f57705,Anna Sibinska,MP,Göteborgs kommun,226,2018-09-24
0810852280213,ddbc56dc-35aa-4c01-828c-5a117e4f2682,Marie-Louise Hänel Sandström,M,Göteborgs kommun,227,2018-09-24
0962841101917,238444e1-ea5f-4acc-b9d1-b7789658b931,Annika Qarlsson,C,Västra Götalands läns västra,228,2018-09-24
028954589415,f91f6a86-591c-449c-b3dd-1fdaa86338cd,Ann-Sofie Alm,M,Västra Götalands läns norra,229,2018-09-24
0202577142527,8c4af927-7bb6-4012-9b46-12adb641f556,Matheus Enholm,SD,Västra Götalands läns norra,230,2018-09-24
0952789103522,c5632090-a0aa-461e-9ab2-e9aaa45d0983,Elin Segerlind,V,Västra Götalands läns norra,231,2018-09-24
0516528386117,8a5b8260-f6d5-4d17-af0b-a339cd40470e,Patrik Björck,S,Västra Götalands läns östra,232,2018-09-24
0836001490919,8c343e73-ddab-428a-87aa-0ab8e2879ce4,Ulrika Heie,C,Västra Götalands läns östra,233,2018-09-24
0692076685824,94f81deb-b316-4a83-8712-1e4d9f102ec2,Camilla Hansén,MP,Örebro län,234,2019-11-04
0494054455310,1b1880b5-b042-47b6-8669-8a51e1908365,David Lång,SD,Örebro län,235,2018-09-24
0204494765606,71b2ece2-dcf7-4e51-aa4c-042cca81cf1e,Ann-Britt Åsebol,M,Dalarnas län,236,2018-09-24
0136801772915,566a8a1c-0625-4f24-9beb-6b6dec928df7,Maria Strömkvist,S,Dalarnas län,237,2018-09-24
0628190530410,a9eff036-3d8c-487e-9325-e3bece8df1e4,Ulla Andersson,V,Gävleborgs län,238,2018-09-24
